DESeq2_PDX3_CBAM44728_MLL-AF10_MEN1-WT_vehicle vs. MEN1-WT_VTP50469,Gene,log2FC,padj
,EPHA3,-0.136648438,NA
,HSPA5,-0.375247017,0.139107144
,DSG2,-1.631900826,2.71E-06
,GEMIN8,-0.449730935,0.016081375
,OFD1,-0.273438396,0.006126758
,GPM6B,-1.552726902,3.53E-25
,MAGEC2,NA,NA
,PREX2,-0.225549706,0.755483488
,WDR37,0.655977151,1.47E-11
,YTHDC2,0.973769104,1.24E-16
,CTPS2,-0.673981923,2.54E-08
,ATP6V1H,-0.127694714,0.456496038
,POLR2B,-0.027314728,0.883422592
,FAM214A,0.084389513,0.736907979
,ARAP2,4.048215257,2.08E-43
,TPR,0.024534016,0.897844223
,CP,0.264180861,0.734077077
,KIAA0556,0.159085089,0.321452182
,DTNBP1,-0.004249123,0.983396692
,XK,-1.313618749,0.002529977
,ANO2,0.035545931,0.968277396
,C12orf4,0.039616702,0.885872607
,SCML1,0.438367528,0.093212463
,WWC3,-0.253914427,0.305510206
,ARHGAP6,1.02704985,0.000859979
,FAM184B,-0.152331015,0.831751341
,MAP4,-0.523307253,2.13E-07
,GOPC,-0.039189116,0.834115916
,ROS1,-0.758386576,0.152898624
,USP28,-0.333022969,0.021904462
,HDAC9,0.603431295,0.003375021
,TSPAN17,0.050728737,0.848600395
,NOP16,-0.560798657,2.72E-05
,CC2D2A,1.455633063,0.000243644
,RRM2B,0.65400436,3.06E-06
,ZNF800,0.407633411,0.003168182
,TNFRSF17,0.048704057,NA
,SNX29,1.430588407,6.52E-31
,LMO3,0.485319403,0.428129897
,MRPS10,-0.267262189,0.023722772
,GUCA1A,NA,NA
,RSF1,0.001394663,0.993287268
,VPS13D,0.588944031,1.79E-08
,CELF2,-0.180058338,0.079231375
,FAM120A,0.109205656,0.411529942
,R3HDM1,-0.084474291,0.666519187
,COL9A2,1.100462582,3.89E-27
,KITLG,0.537830838,0.416798523
,ERCC8,-0.021645477,0.958146936
,ADAMTS6,-1.12632752,0.009430305
,H6PD,-0.514058053,2.85E-09
,VAMP3,0.607324875,8.09E-08
,PER3,-0.081914954,0.777050201
,UTS2,-0.310307167,0.495103928
,TNFRSF9,1.805674921,3.47E-07
,EPN3,0.694920433,0.184627739
,LTBP1,0.454537435,0.451470066
,RCN1,-0.4185274,0.00012756
,ELN,-0.338526442,0.527189901
,RFC2,-0.34996045,0.006939815
,ARID1B,-0.289870724,0.013410063
,CLPTM1L,-0.441327638,2.76E-06
,NEDD4L,-2.424623544,3.20E-46
,FOXP3,0.068704828,0.946746684
,PPP1R3F,-0.444674978,0.161573667
,HEXB,0.224476106,0.032123217
,PTCD2,-0.14579094,0.505313682
,NEXMIF,NA,NA
,JKAMP,-0.071519728,0.662624332
,DKK3,-0.295391216,0.678394855
,ARHGEF5,-0.262216201,0.707490492
,NFE2L3,0.879445336,4.63E-08
,MCUR1,-0.604461971,2.50E-08
,LIMA1,-0.42014495,0.005018037
,LETMD1,0.332645336,0.000283525
,SLC4A8,0.68190641,0.004324765
,LAMC3,0.712357806,0.239259523
,PTGER3,1.923357434,6.38E-05
,TNIP3,1.287316499,0.011607586
,MAPK9,-0.058761555,0.730571246
,COL23A1,1.302805146,8.64E-22
,BCAR1,0.061956635,NA
,FAM160A2,0.795486312,2.61E-13
,HERPUD1,0.195382279,0.150584221
,HOMER3,0.449212484,0.00081152
,RAD51,-0.819135459,6.88E-09
,POLQ,-0.47069706,2.81E-05
,PIK3CB,0.209522225,0.199236166
,CYBA,-0.264204999,0.079399435
,THOC3,-0.689657929,0.001999399
,HEBP2,0.370946386,5.57E-06
,MPHOSPH9,-0.385759456,0.000179628
,PLEKHA5,-2.102746197,4.82E-45
,PRSS8,-0.15366646,0.864592284
,SIKE1,0.002396659,0.989110839
,RRP12,0.378566816,0.002401471
,FNIP2,0.057953871,0.779513816
,MSMO1,-0.810644645,0.012847222
,TTC17,0.184681713,0.113582227
,ALX4,-0.091737419,0.909529831
,FSTL4,0.069692736,0.945735975
,FOXN3,0.298680217,0.007961567
,METTL24,0.342413844,0.53180914
,AKR7A2,-1.047871683,3.29E-19
,MRTO4,-0.825839591,1.36E-13
,NNAT,0.436493078,0.108737522
,USE1,-0.148900539,0.398683817
,MCF2L2,-0.52015477,0.414567782
,NRIP2,-0.045527214,0.93966251
,LAMA3,-4.522849691,3.11E-39
,AP5M1,0.044068514,0.846600027
,ANAPC4,0.103761546,0.543193956
