DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,MSMO1,-2.368934921,2.67E-59
,TTC17,0.259726729,6.72E-05
,ALX4,-0.022312508,NA
,FSTL4,-0.029448547,NA
,FOXN3,-0.333815512,2.67E-05
,METTL24,NA,NA
,AKR7A2,0.139498505,0.088504878
,MRTO4,-0.835552804,1.23E-31
,NNAT,0.367165721,0.40104894
,USE1,-0.188593714,0.02881403
,MCF2L2,0.212066914,0.522448189
,NRIP2,0.730760651,0.002448094
,LAMA3,-0.432699232,0.232094054
,AP5M1,0.099604054,0.239694786
,ANAPC4,0.166157246,0.036718038
,KCNQ1,0.265311189,0.029419298
,TRAPPC3,-0.126084241,0.099837639
,THRAP3,-0.101522361,0.101292401
,PHPT1,-0.077615859,0.48440599
,ENTPD2,0.115516681,0.82267871
,LY75,0.429164255,6.43E-08
,ARID4B,-0.063410399,0.53552893
,OPN3,0.324364738,0.001642646
,SDCCAG8,-0.003699011,0.980941495
,PTPRN,-0.199288908,0.473965947
,HHAT,0.072418006,0.825041899
